plotname,area,points,devRRT
inputs/sample_12_comp=Target_16.jpeg,3959252.5,2,0.00477
inputs/sample_1_comp=Target_16.jpeg,1717466.33,4,0.00663
inputs/sample_5_comp=Target_16.jpeg,0,0,1
inputs/sample_10_comp=Target_16.jpeg,0,0,1
inputs/sample_20_comp=Target_16.jpeg,2838249.88,2,0.00707
inputs/sample_4_comp=Target_16.jpeg,7608696.98,10,5.6e-4
inputs/sample_24_comp=Target_16.jpeg,3506730.38,2,0.00319
inputs/sample_21_comp=Target_16.jpeg,9345134.06,11,0.00313
inputs/sample_23_comp=Target_16.jpeg,6552076.88,3,0.0018600000000000001
inputs/sample_22_comp=Target_17.jpeg,604602.06,18,1.5e-4
inputs/sample_5_comp=Target_17.jpeg,404299.01,15,0.00321
inputs/sample_11_comp=Target_17.jpeg,1057535.22,32,0.00166
inputs/sample_17_comp=Target_17.jpeg,1637795.61,30,8e-4
inputs/sample_2_comp=Target_17.jpeg,6510401.05,42,1.2e-4
inputs/sample_14_comp=Target_17.jpeg,3794764.2,43,0.00317
inputs/sample_20_comp=Target_17.jpeg,1525205.9,29,0.00157
inputs/sample_13_comp=Target_17.jpeg,3517762.88,40,0.00218
inputs/sample_1_comp=Target_17.jpeg,1215536.94,29,0.00107
inputs/sample_15_comp=Target_17.jpeg,3155761.26,35,0.00318
inputs/sample_18_comp=Target_17.jpeg,1536311.24,31,9e-4
inputs/sample_10_comp=Target_17.jpeg,1642182.38,29,7e-5
inputs/sample_3_comp=Target_17.jpeg,365429.77,23,0.00181
inputs/sample_12_comp=Target_17.jpeg,9579605.8,46,0.00231
inputs/sample_21_comp=Target_17.jpeg,4808296.4,40,6.7e-4
inputs/sample_4_comp=Target_17.jpeg,3931239.76,37,0.00303
inputs/sample_24_comp=Target_17.jpeg,2998688.25,36,7.2e-4
inputs/sample_23_comp=Target_17.jpeg,3837564.45,35,6.1e-4
inputs/sample_11_comp=Target_18.jpeg,58151.7,1,0.00602
inputs/sample_3_comp=Target_18.jpeg,62764.21,1,0.00671
inputs/sample_5_comp=Target_18.jpeg,50467.12,1,0.00197
inputs/sample_22_comp=Target_18.jpeg,71220.02,1,0.00327
inputs/sample_2_comp=Target_18.jpeg,629006.09,3,1.1e-4
inputs/sample_14_comp=Target_18.jpeg,3039304.41,11,4.8e-4
inputs/sample_20_comp=Target_18.jpeg,49252.25,1,0.01097
inputs/sample_13_comp=Target_18.jpeg,55876.16,1,0.00396
inputs/sample_17_comp=Target_18.jpeg,81533.3,1,0.0033
inputs/sample_1_comp=Target_18.jpeg,183762.55,2,2e-4
inputs/sample_18_comp=Target_18.jpeg,60878.05,1,0.00248
inputs/sample_4_comp=Target_18.jpeg,67453.59,1,0.0013
inputs/sample_15_comp=Target_18.jpeg,92416.29,1,0.00595
inputs/sample_10_comp=Target_18.jpeg,82366.62,1,0.00479
inputs/sample_21_comp=Target_18.jpeg,293355.84,1,2.7e-4
inputs/sample_24_comp=Target_18.jpeg,114850.77,1,5.5e-4
inputs/sample_12_comp=Target_18.jpeg,1015310.83,5,2e-4
inputs/sample_23_comp=Target_18.jpeg,168390.23,2,2.7e-4
inputs/sample_11_comp=Target_19.jpeg,1684855.64,6,0.00174
inputs/sample_14_comp=Target_19.jpeg,15447144.12,16,3.6e-4
inputs/sample_20_comp=Target_19.jpeg,2429322.29,13,0.0022
inputs/sample_22_comp=Target_19.jpeg,25590207.89,24,6.3e-4
inputs/sample_5_comp=Target_19.jpeg,8493807.56,24,6.1e-4
inputs/sample_2_comp=Target_19.jpeg,35009299.98,51,0.00155
inputs/sample_18_comp=Target_19.jpeg,10214933.9,33,2.4e-4
inputs/sample_17_comp=Target_19.jpeg,4618636.53,14,0.00129
inputs/sample_1_comp=Target_19.jpeg,7144063.09,16,0.00193
inputs/sample_13_comp=Target_19.jpeg,6792324.44,23,0.00222
inputs/sample_4_comp=Target_19.jpeg,30269241.41,59,0.0326
inputs/sample_3_comp=Target_19.jpeg,10747443.68,32,1.2e-4
inputs/sample_24_comp=Target_19.jpeg,427366.69,1,0.00174
inputs/sample_10_comp=Target_19.jpeg,524704.42,2,0.00687
inputs/sample_12_comp=Target_19.jpeg,12638885.88,16,0.00132
inputs/sample_21_comp=Target_19.jpeg,9565653.59,14,0.00211
inputs/sample_15_comp=Target_19.jpeg,6650047.91,12,0.0027
inputs/sample_23_comp=Target_19.jpeg,15570065.18,48,0.03457
inputs/sample_22_comp=Target_2.jpeg,284105.87,3,0.00641
inputs/sample_20_comp=Target_2.jpeg,61939.7,1,0.02408
inputs/sample_5_comp=Target_2.jpeg,0,0,1
inputs/sample_1_comp=Target_2.jpeg,85644.34,1,0.00942
inputs/sample_18_comp=Target_2.jpeg,120424.08,1,0.00794
inputs/sample_11_comp=Target_2.jpeg,92848.18,1,0.01274
inputs/sample_14_comp=Target_2.jpeg,240290.5,1,0.00883
inputs/sample_17_comp=Target_2.jpeg,79634.41,1,0.00266
inputs/sample_13_comp=Target_2.jpeg,0,0,1
inputs/sample_3_comp=Target_2.jpeg,94735.89,1,0.00709
inputs/sample_4_comp=Target_2.jpeg,118390.18,1,0.02177
inputs/sample_10_comp=Target_2.jpeg,418222.64,3,0.00781
inputs/sample_24_comp=Target_2.jpeg,2287247.41,5,0.00804
inputs/sample_2_comp=Target_2.jpeg,286771.41,2,0.01336
inputs/sample_12_comp=Target_2.jpeg,2490987.44,7,0.01246
inputs/sample_21_comp=Target_2.jpeg,1347462.56,5,6.1e-4
inputs/sample_15_comp=Target_2.jpeg,240384.86,2,0.00823
inputs/sample_23_comp=Target_2.jpeg,192293.3,1,0.00731
inputs/sample_19_comp=Target_15.jpeg,0,0,1
inputs/sample_14_comp=Target_20.jpeg,18055614,7,6e-5
inputs/sample_18_comp=Target_20.jpeg,1095663.5,1,7.9e-4
inputs/sample_11_comp=Target_20.jpeg,1192311.75,1,0.00132
inputs/sample_5_comp=Target_20.jpeg,777403.41,2,0.025
inputs/sample_13_comp=Target_20.jpeg,3010791.75,2,7.6e-4
inputs/sample_24_comp=Target_20.jpeg,2730382.75,2,5.9e-4
inputs/sample_1_comp=Target_20.jpeg,3538492.88,3,0.00224
inputs/sample_15_comp=Target_20.jpeg,965634.62,1,0.0022
inputs/sample_20_comp=Target_20.jpeg,1102316.25,1,0.029760000000000002
inputs/sample_22_comp=Target_20.jpeg,16992982.88,9,0.00202
inputs/sample_17_comp=Target_20.jpeg,1568845.62,1,0.00176
inputs/sample_2_comp=Target_20.jpeg,4482625.62,3,1.3e-4
inputs/sample_12_comp=Target_20.jpeg,6529307.75,2,9.8e-4
inputs/sample_3_comp=Target_20.jpeg,5332626.47,8,3e-4
inputs/sample_10_comp=Target_20.jpeg,1720532.12,1,1.7e-4
inputs/sample_4_comp=Target_20.jpeg,1306508.12,1,0.00141
inputs/sample_21_comp=Target_20.jpeg,4817744.81,3,0.00162
inputs/sample_23_comp=Target_20.jpeg,824001.62,1,5.1e-4
inputs/sample_19_comp=Target_16.jpeg,0,0,1
inputs/sample_20_comp=Target_21.jpeg,1786735.6,11,2.2e-4
inputs/sample_11_comp=Target_21.jpeg,237547.09,1,0.0056
inputs/sample_18_comp=Target_21.jpeg,295685,1,0.00222
inputs/sample_22_comp=Target_21.jpeg,483921.06,1,4.9e-4
inputs/sample_1_comp=Target_21.jpeg,1562842.09,10,1.1e-4
inputs/sample_15_comp=Target_21.jpeg,2435770.81,8,0.00494
inputs/sample_13_comp=Target_21.jpeg,478106.39,2,0.00353
inputs/sample_3_comp=Target_21.jpeg,263526.38,1,2.6e-4
inputs/sample_2_comp=Target_21.jpeg,6462557.73,17,0.00232
inputs/sample_14_comp=Target_21.jpeg,2303968.84,6,0.00789
inputs/sample_10_comp=Target_21.jpeg,184899.88,1,0.0182
inputs/sample_24_comp=Target_21.jpeg,1935828.86,5,0.00579
inputs/sample_17_comp=Target_21.jpeg,1998234.76,12,0.00538
inputs/sample_5_comp=Target_21.jpeg,191308.06,1,0.00325
inputs/sample_4_comp=Target_21.jpeg,2575887.62,11,0.00471
