plotname,area,points,devRRT
inputs/sample_13_comp=Target_15_confirming.jpeg,11746.48,1,0.00274
inputs/sample_5_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_3_comp=Target_15_confirming.jpeg,4088.18,1,0.00115
inputs/sample_12_comp=Target_15_confirming.jpeg,14014.26,2,0.00285
inputs/sample_2_comp=Target_15_confirming.jpeg,12938.27,2,0.00849
inputs/sample_24_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_21_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_10_comp=Target_15_confirming.jpeg,5951.48,1,0.02348
inputs/sample_20_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_23_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_16_confirming.jpeg,963858.38,1,0.01843
inputs/sample_13_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_16_confirming.jpeg,2061903.5,1,0.01064
inputs/sample_15_comp=Target_16_confirming.jpeg,595329.56,1,0.02484
inputs/sample_3_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_12_comp=Target_16_confirming.jpeg,412909.41,1,0.14249
inputs/sample_18_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_5_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_1_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_10_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_24_comp=Target_16_confirming.jpeg,1202621.38,1,0.01284
inputs/sample_21_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_23_comp=Target_16_confirming.jpeg,0,0,1
inputs/sample_3_comp=Target_17_confirming.jpeg,49537.63,5,0.00181
inputs/sample_22_comp=Target_17_confirming.jpeg,106732.86,3,1.5e-4
inputs/sample_5_comp=Target_17_confirming.jpeg,76516.05,5,0.00321
inputs/sample_11_comp=Target_17_confirming.jpeg,233369.12,10,0.00166
inputs/sample_2_comp=Target_17_confirming.jpeg,1510033.73,29,1.2e-4
inputs/sample_17_comp=Target_17_confirming.jpeg,364793.6,13,8e-4
inputs/sample_20_comp=Target_17_confirming.jpeg,322587.95,11,0.00157
inputs/sample_14_comp=Target_17_confirming.jpeg,870489.33,26,0.00317
inputs/sample_13_comp=Target_17_confirming.jpeg,782874.83,26,0.00218
inputs/sample_1_comp=Target_17_confirming.jpeg,265260.35,14,0.00107
inputs/sample_15_comp=Target_17_confirming.jpeg,752861.71,24,0.00318
inputs/sample_10_comp=Target_17_confirming.jpeg,354366.79,14,7e-5
inputs/sample_18_comp=Target_17_confirming.jpeg,261374.45,5,9e-4
inputs/sample_4_comp=Target_17_confirming.jpeg,876718.58,24,0.00303
inputs/sample_21_comp=Target_17_confirming.jpeg,1107323.3,27,6.7e-4
inputs/sample_24_comp=Target_17_confirming.jpeg,691969.87,24,7.2e-4
inputs/sample_12_comp=Target_17_confirming.jpeg,2224123.52,29,0.00231
inputs/sample_23_comp=Target_17_confirming.jpeg,834684.44,23,6.1e-4
inputs/sample_11_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_3_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_5_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_13_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_1_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_18_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_18_confirming.jpeg,127899.34,1,0.01725
inputs/sample_10_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_15_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_21_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_24_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_12_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_23_comp=Target_18_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_19_confirming.jpeg,159567.06,1,0.02806
inputs/sample_14_comp=Target_19_confirming.jpeg,260694.19,1,0.00682
inputs/sample_20_comp=Target_19_confirming.jpeg,88423.21,1,0.00122
inputs/sample_22_comp=Target_19_confirming.jpeg,5497887.09,12,2.9e-4
inputs/sample_18_comp=Target_19_confirming.jpeg,560020.84,3,0.00121
inputs/sample_17_comp=Target_19_confirming.jpeg,123718.34,1,0.00243
inputs/sample_2_comp=Target_19_confirming.jpeg,6303878.48,16,0.00155
inputs/sample_1_comp=Target_19_confirming.jpeg,629822.27,4,0.00101
inputs/sample_5_comp=Target_19_confirming.jpeg,151965.48,1,3.1e-4
inputs/sample_13_comp=Target_19_confirming.jpeg,206822.59,1,0.00131
inputs/sample_4_comp=Target_19_confirming.jpeg,4825629.84,12,0.0326
inputs/sample_3_comp=Target_19_confirming.jpeg,323302.65,2,1.2e-4
